"omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI"
"COORDINAATPUNT,,_,,_,AL,_,COORDINAATPUNT,_,,_,,_,,_,,_,,-,,-,,,SAL-COORDINAAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5bd4b95a-dc71-42af-b5cf-c2d7449f9760,"
"ORIENTATIE,,_,,_,AL,_,ORIENTATIE,_,,_,,_,,_,,_,,-,,-,,,SAL-ORIENTATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e5aa0262-49bc-4a8b-9dc4-81debfa37345,"
"TEKENBLAD,,_,,_,AL,_,TEKENBLAD,_,,_,,_,,_,,_,,-,,-,,,SAL-TEKENBLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a,"
"AANKLEDING,,_,,_,AL,_,AANKLEDING,_,,_,,_,,_,,_,,-,,-,,,SAL-AANKLEDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a9622d0d-facb-411a-987b-f6adf25910f4,"
"VERWIJZING_AANZICHT,,_,,_,AL,_,VERWIJZING,_,AANZICHT,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d4e4aefc-e55d-4e15-b524-2e3344e15eec,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cbc84760-0b9a-4205-93b3-ae4b8279cd08"
"VERWIJZING_DETAIL,,_,,_,AL,_,VERWIJZING,_,DETAIL,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e982babe-06cc-4800-b3e9-7e44471737bd,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cbc84760-0b9a-4205-93b3-ae4b8279cd08"
"VERWIJZING_DOORSNEDE,,_,,_,AL,_,VERWIJZING,_,DOORSNEDE,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/13864a8b-0201-45a7-9da1-3d049b336411,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cbc84760-0b9a-4205-93b3-ae4b8279cd08"
"VERWIJZING_WIJZIGING,,_,,_,AL,_,VERWIJZING,_,WIJZIGING,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/73554001-b372-4756-8df7-fe86ce5073c7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cbc84760-0b9a-4205-93b3-ae4b8279cd08"
"BLADVERWIJZING_KAART,,_,,_,AL,_,BLADVERWIJZING,_,KAART,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/183069c1-f792-472f-9713-477516c63199,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ae1369b0-0ece-4017-94a5-f001804b4188"
"BLADVERWIJZING_CONTOUR,,_,,_,AL,_,BLADVERWIJZING,_,CONTOUR,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/18b54499-57d3-49e4-ac4c-3048b64a7c69,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ae1369b0-0ece-4017-94a5-f001804b4188"
"BLADVERWIJZING_DTM,,_,,_,AL,_,BLADVERWIJZING,_,DTM,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f9c66dc-e5f0-4de1-85f9-82d36f81ff33,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ae1369b0-0ece-4017-94a5-f001804b4188"
"BLADVERWIJZING_BLAD,,_,,_,AL,_,BLADVERWIJZING,_,BLAD,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/91cd8ded-2932-4cc1-bf16-1321ddb60b47,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ae1369b0-0ece-4017-94a5-f001804b4188"
"BLADVERWIJZING_AS,,_,,_,AL,_,BLADVERWIJZING,_,AS,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d366a885-c350-4366-afc0-1af4aa64d227,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ae1369b0-0ece-4017-94a5-f001804b4188"
"TEKENBLAD_WERKZAAMHEDEN,,_,,_,AL,_,TEKENBLAD,_,WERKZAAMHEDEN,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/92f19c5b-3468-4882-a592-0b72952bed68,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TEKENBLAD_DEELKADER,,_,,_,AL,_,TEKENBLAD,_,DEELKADER,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a394f60d-1d36-4b97-80db-a568211f2980,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TEKENBLAD_VIEWPORT,,_,,_,AL,_,TEKENBLAD,_,VIEWPORT,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3455519b-0969-441e-9066-defcb5245141,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TEKENBLAD_HULPLIJN,,_,,_,AL,_,TEKENBLAD,_,HULPLIJN,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/65dac3f7-5b5d-42b4-a3bb-0762970d45bd,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TEKENBLAD_TITELBLOK,,_,,_,AL,_,TEKENBLAD,_,TITELBLOK,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b587d613-cd7c-4348-a3b4-24538c0cb9f2,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TEKENBLAD_KADER,,_,,_,AL,_,TEKENBLAD,_,KADER,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7158aa53-1b03-40c5-bf95-8d31e2c72624,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TEKENBLAD_VERKLARING,,_,,_,AL,_,TEKENBLAD,_,VERKLARING,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/836a066d-0781-4ce6-a760-4566c5dbfa5d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TEKENBLAD_WIJZIGINGSBLOK,,_,,_,AL,_,TEKENBLAD,_,WIJZIGINGSBLOK,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1f26db84-c369-43cd-bc64-5af1eef71e7d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TEKENBLAD_SITUATIE,,_,,_,AL,_,TEKENBLAD,_,SITUATIE,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/afa7666b-1c23-4d4e-a6ca-f8a9d64324dc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a"
"TABEL_UITZETTING,,_,,_,AL,_,TABEL,_,UITZETTING,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2a07028b-35c1-41ab-bd4b-5b10323b9cc4,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/70d43886-6cab-4bce-953f-47ca228122a0"
"TABEL_PLAATSBEPALING,,_,,_,AL,_,TABEL,_,PLAATSBEPALING,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6ebdc1ea-8f81-4e96-91a1-2224c0e14571,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/70d43886-6cab-4bce-953f-47ca228122a0"
"TABEL_BESTELTEKENINGEN,,_,,_,AL,_,TABEL,_,BESTELTEKENINGEN,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e2400392-419a-433d-9d86-2297cac8ca52,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/70d43886-6cab-4bce-953f-47ca228122a0"
"TABEL_UITSLAG,,_,,_,AL,_,TABEL,_,UITSLAG,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fed3c62f-efe8-4aa8-8583-edf663b1bde4,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/70d43886-6cab-4bce-953f-47ca228122a0"
"TEKENBLADGRENS,,_,,_,AL,_,TEKENBLADGRENS,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/82677c85-1aa0-4ea4-ad78-a9534476dc8e,"
"PROJECTGRENS,,_,,_,AL,_,PROJECTGRENS,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/79a8ec2a-edba-4887-991e-a363797d29cd,"
"REFERENTIE,,_,,_,AL,_,REFERENTIE,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f7144968-6e00-4516-a3bc-9b7b556cc0a5,"
"ASSETBESCHRIJVING,,_,,_,AL,_,ASSETBESCHRIJVING,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/aecaa672-7495-47b4-97c9-25cd26d13158,"
"BLADVERWIJZING,,_,,_,AL,_,BLADVERWIJZING,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ae1369b0-0ece-4017-94a5-f001804b4188,"
"TABEL,,_,,_,AL,_,TABEL,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/70d43886-6cab-4bce-953f-47ca228122a0,"
"SYSTEEMGRENS,,_,,_,AL,_,SYSTEEMGRENS,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/33123078-380b-4496-ae33-7fc8b967280a,"
"PROFIEL,,_,,_,AL,_,PROFIEL,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cf4b6959-d5a9-44b0-bc77-c4f24b2b3b05,"
"LEGENDA,,_,,_,AL,_,LEGENDA,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f54c6021-5e77-48aa-a020-0bf0f86da9e4,"
"ASSETKADER,,_,,_,AL,_,ASSETKADER,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ab1d8b14-1df8-480d-aff2-301f6e237489,"
"WERKGRENS,,_,,_,AL,_,WERKGRENS,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4f46e770-2ca6-43a9-9125-56285de509d9,"
"PROFIELBALK,,_,,_,AL,_,PROFIELBALK,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6b3b0a4e-ae5c-41b6-8924-e37f88c13d31,"
"FASEGRENS,,_,,_,AL,_,FASEGRENS,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c07bf804-96d5-447f-a628-fdb9f4825101,"
"ASSETNUMMER,,_,,_,AL,_,ASSETNUMMER,_,,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bb788469-2050-46bb-b8c6-c6603c6e4776,"
"AS_SPOOR_TRAM_AFWIJKING_5 TOT 10CM,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,AFWIJKING,_,5 TOT 10CM,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8a2a7ea3-1de8-4084-8116-6041612dd431,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/75a86e42-36b7-447f-9981-f307aafc9ffa"
"AS_SPOOR_TRAM_AFWIJKING_ONBEKEND,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,AFWIJKING,_,ONBEKEND,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fc2ce45a-914d-4d40-8091-f65d58f1d69c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/75a86e42-36b7-447f-9981-f307aafc9ffa"
"AS_SPOOR_TRAM_AFWIJKING_0 TOT 5CM,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,AFWIJKING,_,0 TOT 5CM,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fedc081d-2a85-4aa5-9055-1703c6039d76,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/75a86e42-36b7-447f-9981-f307aafc9ffa"
"AS_KUNSTWERK_WILDWISSEL_ECODUCT_WILDVIADUCT,,_,,_,AM,_,AS,_,KUNSTWERK,_,WILDWISSEL,_,ECODUCT,_,WILDVIADUCT,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/84e87b4b-d509-4c64-abd4-7a526f81c8b4,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f3dfc9b8-195d-4bad-9e05-fba5540efdc1"
"AS_KUNSTWERK_WILDWISSEL_ECOTUNNEL_WILDTUNNEL,,_,,_,AM,_,AS,_,KUNSTWERK,_,WILDWISSEL,_,ECOTUNNEL,_,WILDTUNNEL,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/24fcbf5a-5c5c-4075-b54d-75d49cdcd2a3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8f6dc895-11a5-409e-b0d0-a7ee3598d908"
"AS_KUNSTWERK_WILDWISSEL_ECOTUNNEL_VEETUNNEL,,_,,_,AM,_,AS,_,KUNSTWERK,_,WILDWISSEL,_,ECOTUNNEL,_,VEETUNNEL,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c9ec1d02-51ee-4bad-b2f4-92885d81e702,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8f6dc895-11a5-409e-b0d0-a7ee3598d908"
"AS_SPOOR,,_,,_,AM,_,AS,_,SPOOR,_,,_,,_,,_,,-,,-,,,SAM-AS_SPOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ea53f57f-0e5e-419d-9060-1d9c43184082,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1cecafd8-08af-4978-b2ee-dd9fe0f0513c"
"AS_PUNTNUMMER,,_,,_,AM,_,AS,_,PUNTNUMMER,_,,_,,_,,_,,-,,-,,,SAM-ASPUNTNUMMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/da6652a6-5e27-4dff-bca0-c56f0b1e1481,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1cecafd8-08af-4978-b2ee-dd9fe0f0513c"
"AS_SPOOR_TRAM_BUITEN GEBRUIK,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,BUITEN GEBRUIK,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0b6b585d-ed72-4361-a9e4-c9b32003f7da,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/09ff909d-f438-4aba-ac4a-3f163b2ec935"
"AS_SPOOR_TRAM_NIET GEMETEN,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,NIET GEMETEN,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0829b127-963e-4708-a5d7-e0fc597cf160,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/09ff909d-f438-4aba-ac4a-3f163b2ec935"
"AS_SPOOR_TRAM_RECHT,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,RECHT,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c1a2d878-9af6-4aa8-b4bf-ab09006339be,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/09ff909d-f438-4aba-ac4a-3f163b2ec935"
"AS_SPOOR_TRAM_BOOG,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,BOOG,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/89514471-1c98-4205-b28c-26839c4651ef,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/09ff909d-f438-4aba-ac4a-3f163b2ec935"
"AS_SPOOR_TRAM_ONTWERP,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,ONTWERP,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c80b0d98-ce2d-46bc-9701-7800db0c872f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/09ff909d-f438-4aba-ac4a-3f163b2ec935"
"AS_SPOOR_TRAM_OVERGANGSBOOG,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,OVERGANGSBOOG,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a3c39f66-7ed9-432d-8435-de030422232d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/09ff909d-f438-4aba-ac4a-3f163b2ec935"
"AS_SPOOR_TRAM_AFWIJKING,,_,,_,AM,_,AS,_,SPOOR,_,TRAM,_,AFWIJKING,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/75a86e42-36b7-447f-9981-f307aafc9ffa,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/09ff909d-f438-4aba-ac4a-3f163b2ec935"
